0
BTC
ETH
USDT
BNB
USDC
XRP
BUSD
ADA
DOGE
OKB
MATIC
DAI
SOL
SHIB
DOT
LTC
AVAX
TRX
SRM
LINK
ATOM
UNI
ETC
XMR
BCH
WBTC
XLM
APE
CRO
NEAR
APT
FIL
LDO
ALGO
HBAR
QNT
VET
AXS
MANA
ICP
FTM
SAND
AAVE
LUNC
EOS
GRT
HT
FLOW
_IMX
EGLD
THETA
XTZ
FRAX
RNDR
USDP
__BIT
FXS
SNX
BSV
CRV
CHZ
CAKE
ZEC
USDD
XEC
BTT
BABYDOGE
DASH
MKR
MIOTA
MINA
KCS
_KLAY
NEO
GT
OP
ENS
ILV
TWT
OSMO
__GMX
XRD
TUSD
AGIX
PAXG
LRC
DYDX
AR
CVX
ENJ
ETHW
WBT
1INCH
LUNA
FLR
CSPR
NEXO
KSM
BAT
MX
